"","id","burst_","x1_","x2_","y1_","y2_","sl_","direction_p","ta_","t1_","t2_","dt_"
"1","M1",1,1782673.36909955,1782682.99681033,2402296.71199298,2402292.3312789,10.5774983187756,-0.427013235029932,NA,2009-02-11 12:16:45,2009-02-11 12:45:48,29.0666333317757
"2","M1",1,1782682.99681033,1782680.56111392,2402292.3312789,2402296.64679636,4.95543217246149,2.08463116386299,2.51164439889292,2009-02-11 12:45:48,2009-02-11 13:15:19,29.5000500003497
"3","M1",1,1782680.56111392,1782682.52025387,2402296.64679636,2402297.62762182,2.19094681358347,0.46416014234796,-1.62047102151503,2009-02-11 13:15:19,2009-02-11 13:45:37,30.2999833345413
"4","M1",1,1782682.52025387,1782681.66650571,2402297.62762182,2402290.17867156,7.4977160424062,-1.68491160315913,-2.14907174550709,2009-02-11 13:45:37,2009-02-11 14:15:49,30.2
"5","M1",1,1782681.66650571,1782684.2900223,2402290.17867156,2402297.74819335,8.01127326683366,1.23716306108772,2.92207466424685,2009-02-11 14:15:49,2009-02-11 14:45:13,29.4166333317757
"6","M1",1,1782684.2900223,1782684.92466286,2402297.74819335,2402273.59723259,24.1592978869587,-1.54452430623198,-2.7816873673197,2009-02-11 14:45:13,2009-02-11 15:15:10,29.9500166694323
"7","M1",1,1782684.92466286,1782669.49235748,2402273.59723259,2402309.23069107,38.8316805302457,1.97949480341615,-2.75916619753146,2009-02-11 15:15:10,2009-02-11 15:45:33,30.3666833321253
"8","M1",1,1782669.49235748,1782678.75097178,2402309.23069107,2402299.20404366,13.6475491227564,-0.825202002695243,-2.80469680611139,2009-02-11 15:45:33,2009-02-11 16:15:14,29.6999833345413
"9","M1",1,1782678.75097178,1782679.03872912,2402299.20404366,2402304.45172246,5.25556249170019,1.51601602274533,2.34121802544057,2009-02-11 16:15:14,2009-02-11 16:45:52,30.6333333333333
"10","M1",1,1782679.03872912,1782698.98504691,2402304.45172246,2402273.10308647,37.1563261306847,-1.00413100782429,-2.52014703056962,2009-02-11 16:45:52,2009-02-11 17:15:12,29.333316663901
"11","M1",1,1782698.98504691,1782686.41586628,2402273.10308647,2402300.25000873,29.9155426094644,2.00441303075625,3.00854403858054,2009-02-11 17:15:12,2009-02-11 17:45:45,30.533383333683
"12","M1",1,1782686.41586628,1782681.25195977,2402300.25000873,2402292.42333134,9.37671633980938,-2.15401796886171,2.12475430756163,2009-02-11 17:45:45,2009-02-11 18:15:19,29.583300002416
"13","M1",1,1782681.25195977,1782678.15941884,2402292.42333134,2402292.90822592,3.1303246093118,2.98606406509413,-1.14310327322375,2009-02-11 18:15:19,2009-02-11 18:45:17,29.9666499972343
"14","M1",1,1782678.15941884,1782678.37956907,2402292.90822592,2402288.90632853,4.00794820724032,-1.51584025461194,1.78128098747352,2009-02-11 18:45:17,2009-02-11 19:15:14,29.95
"15","M1",1,1782678.37956907,1782675.9508297,2402288.90632853,2402301.52681047,12.8520558407996,1.7609163137147,-3.00642873885295,2009-02-11 19:15:14,2009-02-11 19:45:23,30.15
"16","M1",1,1782675.9508297,1782678.05109539,2402301.52681047,2402267.44433024,34.1471312757997,-1.50925112228413,3.01301787118076,2009-02-11 19:45:23,2009-02-11 20:15:44,30.3500166694323
"17","M1",1,1782678.05109539,1782677.51255265,2402267.44433024,2402289.91833704,22.4804584003273,1.59475465792574,3.10400578020987,2009-02-11 20:15:44,2009-02-11 20:45:14,29.483349998792
"18","M1",1,1782677.51255265,1782691.51379056,2402289.91833704,2402292.99335226,14.3349357022399,0.216192135564664,-1.37856252236108,2009-02-11 20:45:14,2009-02-11 21:15:18,30.0833166678747
"19","M1",1,1782691.51379056,1782672.06802916,2402292.99335226,2402297.89682533,20.0544679425049,2.89458064014801,2.67838850458334,2009-02-11 21:15:18,2009-02-11 21:45:06,29.7833666642507
"20","M1",1,1782672.06802916,1782680.7467533,2402297.89682533,2402290.24794215,11.5683043957163,-0.722408006943005,2.66619666008858,2009-02-11 21:45:06,2009-02-11 22:15:15,30.15
"21","M1",1,1782680.7467533,1782676.01496276,2402290.24794215,2402298.8546202,9.82164694540012,2.07347160451611,2.79587961145912,2009-02-11 22:15:15,2009-02-11 22:45:23,30.1333166678747
"22","M1",1,1782676.01496276,1782679.17163536,2402298.8546202,2402288.63454731,10.6964700613169,-1.2712220311468,2.93849167151668,2009-02-11 22:45:23,2009-02-11 23:15:15,29.8832999984423
