,id,burst_,x1_,x2_,y1_,y2_,sl_,direction_p,ta_,t1_,t2_,dt_,recreating step lenghth
1,M1,1,1782673.369,1782682.997,2402296.712,2402292.331,10.57749832,-0.427013235,NA,11/02/2009 12:16,11/02/2009 12:45,29.06663333,10.57749832
2,M1,1,1782682.997,1782680.561,2402292.331,2402296.647,4.955432172,2.084631164,2.511644399,11/02/2009 12:45,11/02/2009 13:15,29.50005,4.955432166
3,M1,1,1782680.561,1782682.52,2402296.647,2402297.628,2.190946814,0.464160142,-1.620471022,11/02/2009 13:15,11/02/2009 13:45,30.29998333,2.19094681
4,M1,1,1782682.52,1782681.667,2402297.628,2402290.179,7.497716042,-1.684911603,-2.149071746,11/02/2009 13:45,11/02/2009 14:15,30.2,7.497716046
5,M1,1,1782681.667,1782684.29,2402290.179,2402297.748,8.011273267,1.237163061,2.922074664,11/02/2009 14:15,11/02/2009 14:45,29.41663333,8.011273272
6,M1,1,1782684.29,1782684.925,2402297.748,2402273.597,24.15929789,-1.544524306,-2.781687367,11/02/2009 14:45,11/02/2009 15:15,29.95001667,24.15929788
7,M1,1,1782684.925,1782669.492,2402273.597,2402309.231,38.83168053,1.979494803,-2.759166198,11/02/2009 15:15,11/02/2009 15:45,30.36668333,38.83168053
8,M1,1,1782669.492,1782678.751,2402309.231,2402299.204,13.64754912,-0.825202003,-2.804696806,11/02/2009 15:45,11/02/2009 16:15,29.69998333,
9,M1,1,1782678.751,1782679.039,2402299.204,2402304.452,5.255562492,1.516016023,2.341218025,11/02/2009 16:15,11/02/2009 16:45,30.63333333,
10,M1,1,1782679.039,1782698.985,2402304.452,2402273.103,37.15632613,-1.004131008,-2.520147031,11/02/2009 16:45,11/02/2009 17:15,29.33331666,
11,M1,1,1782698.985,1782686.416,2402273.103,2402300.25,29.91554261,2.004413031,3.008544039,11/02/2009 17:15,11/02/2009 17:45,30.53338333,
12,M1,1,1782686.416,1782681.252,2402300.25,2402292.423,9.37671634,-2.154017969,2.124754308,11/02/2009 17:45,11/02/2009 18:15,29.5833,
13,M1,1,1782681.252,1782678.159,2402292.423,2402292.908,3.130324609,2.986064065,-1.143103273,11/02/2009 18:15,11/02/2009 18:45,29.96665,
14,M1,1,1782678.159,1782678.38,2402292.908,2402288.906,4.007948207,-1.515840255,1.781280987,11/02/2009 18:45,11/02/2009 19:15,29.95,
